Node ID,Node OSMID,X,Y,Node Weight,Number Deliveries
0,31887949.0,-292.1458368854446,-3290.266239822098,0.00015493771466663198,164
0,31887946.0,-292.90007941080603,-3282.378460354687,0.00013612644516561233,136
0,31887947.0,-292.53988537472014,-3286.3353649087558,0.00013612644516561233,141
0,31887948.0,-293.32523662318545,-3278.477015623188,0.00013613509800346928,130
0,31886628.0,-280.08639041879997,-3291.364510562531,0.0001676746919920694,163
0,31887950.0,-291.7637963077641,-3294.1678505927866,0.0001676746919920694,175
0,31886554.0,-280.90854830573517,-3283.459655678526,0.00014604259734968248,139
0,31886612.0,-279.52991982361164,-3287.5488337803044,0.00014604259734968248,165
0,31333691.0,-269.3340498961852,-3280.6595621520296,0.00014720207762251443,133
0,31887936.0,-267.64240650301326,-3296.3130107182506,0.00014720207762251443,145
0,31887937.0,-268.0695810879379,-3292.4372307877607,0.00014720207762251443,130
0,31887938.0,-268.92671223896286,-3284.5047878211763,0.00014720207762251443,161
0,31887944.0,-274.3839325888166,-3284.032030210731,0.00014720207762251443,150
0,31887945.0,-273.46177251089375,-3291.9043353407906,0.00014720207762251443,140
0,31888198.0,-279.58185633367157,-3295.2425137800265,0.00014720207762251443,135
0,31886540.0,-281.28817260139294,-3279.563441129163,0.00017578240106403602,171
0,27558569.0,-311.2418789631338,-3259.88821373897,0.00013313256326710597,128
0,27558570.0,-309.69593637463186,-3277.037430491593,0.00013314121610496295,140
0,32498708.0,-359.0427191632343,-3272.976488740609,0.0001523505161474025,140
0,25768674.0,-472.658619467099,-3214.4051366381123,0.00013765799746629333,139
0,32416964.0,-444.3831535829686,-3220.3924973794988,0.00019278522745295212,216
0,32416963.0,-436.29623151997384,-3222.24498554655,0.00013230189083283833,132
0,25768694.0,-375.5150994948699,-3188.8829767684483,0.00017681208876901364,182
0,25768709.0,-365.3709234741764,-3189.743108847359,0.000204284848964845,191
0,25768695.0,-355.04287071168255,-3190.6175498552902,0.0001753843705226161,189
0,27558203.0,-331.3412829700965,-3203.173571325863,0.0003195146907059116,348
0,27558206.0,-324.6841359461714,-3204.67287323489,0.00015154580222670572,157
0,32417040.0,-323.9560063185181,-3193.370491555958,0.00015155445506456267,153
0,27558207.0,-315.55869289586553,-3205.589531265338,0.00010725192523695429,91
0,27558563.0,-315.1295724081201,-3211.3194490264086,0.00010724327239909733,112
0,27558568.0,-312.61885353592425,-3243.917208785245,8.668412965097282e-05,94
0,27557500.0,-308.1372868827175,-3237.3632755820854,0.00015493771466663198,157
0,31886452.0,-273.95498697151106,-3229.58111285039,0.000166982464963513,139
0,31886436.0,-238.81967423466904,-3232.9670499502818,0.00020006226409065108,182
0,21291887.0,-214.9852449977916,-3250.08689769396,0.0001182669878288577,125
0,31236924.0,-203.81691247960498,-3255.277319152131,0.0001182669878288577,115
0,31236925.0,-214.62651700199785,-3254.1519452443,0.0001182669878288577,118
